sampleid,x,y
0,397,1
1,167,1
2,764,1
3,166,1
4,459,1
5,644,1
6,16,1
7,187,1
8,797,1
9,329,1
10,419,1
11,302,1
12,995,1
13,165,1
14,817,1
15,775,1
16,682,1
17,473,1
18,550,1
19,534,1
20,843,1
21,413,1
22,84,1
23,8,1
24,486,1
25,798,1
26,967,1
27,253,1
28,40,1
29,745,1
30,6,1
31,505,1
32,435,1
33,643,1
34,905,1
35,170,1
36,467,1
37,475,1
38,988,1
39,19,1
40,429,1
41,802,1
42,742,1
43,410,1
44,392,1
45,759,1
46,695,1
47,82,1
48,245,1
49,984,1
50,241,1
51,274,1
52,934,1
53,728,1
54,105,1
55,509,1
56,859,1
57,445,1
58,284,1
59,540,1
60,338,1
61,426,1
62,563,1
63,852,1
64,587,1
65,224,1
66,478,1
67,487,1
68,567,1
69,439,1
70,560,1
71,614,1
72,860,1
73,419,1
74,399,1
75,25,1
76,119,1
77,185,1
78,844,1
79,307,1
80,794,1
81,274,1
82,195,1
83,282,1
84,896,1
85,632,1
86,589,1
87,253,1
88,238,1
89,893,1
90,75,1
91,725,1
92,344,1
93,399,1
94,677,1
95,0,1
96,66,1
97,903,1
98,511,1
99,26,1
100,63,1
101,585,1
102,559,1
103,897,1
104,1006,0
105,145,1
106,952,1
107,330,1
108,560,1
109,87,1
110,947,1
111,542,1
112,556,1
113,803,1
114,825,1
115,969,1
116,587,1
117,123,1
118,432,1
119,200,1
120,50,1
121,620,1
122,822,1
123,10,1
124,385,1
125,858,1
126,22,1
127,26,1
128,67,1
129,329,1
130,271,1
131,359,1
132,44,1
133,751,1
134,650,1
135,860,1
136,456,1
137,772,1
138,231,1
139,348,1
140,649,1
141,449,1
142,669,1
143,952,1
144,776,1
145,795,1
146,940,1
147,357,1
148,517,1
149,405,1
150,298,1
151,900,1
152,456,1
153,787,1
154,621,1
155,321,1
156,135,1
157,594,1
158,177,1
159,259,1
160,205,1
161,787,1
162,455,1
163,421,1
164,39,1
165,75,1
166,985,1
167,369,1
168,68,1
169,2,1
170,576,1
171,524,1
172,947,1
173,381,1
174,953,1
175,136,1
176,993,1
177,580,1
178,755,1
179,289,1
180,876,1
181,584,1
182,873,1
183,573,1
184,740,1
185,313,1
186,184,1
187,620,1
188,296,1
189,195,1
190,919,1
191,110,1
192,964,1
193,252,1
194,1024,0
195,984,1
196,788,1
197,130,1
198,579,1
199,373,1
200,995,1
201,192,1
202,801,1
203,318,1
204,349,1
205,837,1
206,742,1
207,285,1
208,11,1
209,93,1
210,173,1
211,214,1
212,42,1
213,986,1
214,39,1
215,181,1
216,786,1
217,421,1
218,400,1
219,534,1
220,651,1
221,19,1
222,596,1
223,638,1
224,1012,0
225,32,1
226,398,1
227,255,1
228,678,1
229,349,1
230,576,1
231,140,1
232,76,1
233,967,1
234,108,1
235,417,1
236,421,1
237,133,1
238,738,1
239,927,1
240,926,1
241,14,1
242,380,1
243,151,1
244,996,1
245,149,1
246,83,1
247,378,1
248,442,1
249,609,1
250,847,1
251,164,1
252,113,1
253,982,1
254,741,1
255,582,1
256,556,1
257,251,1
258,76,1
259,732,1
260,588,1
261,63,1
262,707,1
263,90,1
264,1014,0
265,465,1
266,445,1
267,602,1
268,825,1
269,894,1
270,646,1
271,306,1
272,564,1
273,1013,0
274,348,1
275,620,1
276,22,1
277,179,1
278,440,1
279,827,1
280,242,1
281,771,1
282,145,1
283,194,1
284,274,1
285,188,1
286,458,1
287,171,1
288,685,1
289,192,1
290,684,1
291,971,1
292,32,1
293,178,1
294,225,1
295,372,1
296,88,1
297,191,1
298,24,1
299,215,1
300,552,1
301,2,1
302,978,1
303,14,1
304,316,1
305,520,1
306,551,1
307,493,1
308,967,1
309,96,1
310,257,1
311,705,1
312,55,1
313,245,1
314,309,1
315,706,1
316,186,1
317,500,1
318,189,1
319,780,1
320,1,1
321,596,1
322,308,1
323,896,1
324,826,1
325,326,1
326,647,1
327,62,1
328,774,1
329,876,1
330,411,1
331,898,1
332,131,1
333,647,1
334,34,1
335,944,1
336,132,1
337,413,1
338,326,1
339,416,1
340,629,1
341,193,1
342,128,1
343,751,1
344,275,1
345,687,1
346,170,1
347,557,1
348,370,1
349,646,1
350,185,1
351,538,1
352,837,1
353,294,1
354,138,1
355,790,1
356,737,1
357,400,1
358,1018,0
359,81,1
360,18,1
361,934,1
362,326,1
363,518,1
364,934,1
365,982,1
366,290,1
367,543,1
368,518,1
369,226,1
370,312,1
371,487,1
372,21,1
373,51,1
374,299,1
375,1006,0
376,961,1
377,632,1
378,936,1
379,792,1
380,284,1
381,62,1
382,627,1
383,84,1
384,700,1
385,163,1
386,782,1
387,632,1
388,356,1
389,964,1
390,119,1
391,212,1
392,187,1
393,645,1
394,755,1
395,425,1
396,400,1
397,448,1
398,678,1
399,610,1
400,1008,0
401,881,1
402,514,1
403,414,1
404,1,1
405,758,1
406,807,1
407,548,1
408,523,1
409,651,1
410,975,1
411,124,1
412,280,1
413,137,1
414,353,1
415,660,1
416,729,1
417,1014,0
418,382,1
419,284,1
420,125,1
421,176,1
422,858,1
423,329,1
424,169,1
425,777,1
426,134,1
427,945,1
428,590,1
429,737,1
430,123,1
431,390,1
432,780,1
433,756,1
434,266,1
435,830,1
436,333,1
437,690,1
438,615,1
439,83,1
440,485,1
441,565,1
442,438,1
443,605,1
444,881,1
445,105,1
446,781,1
447,981,1
448,778,1
449,830,1
450,781,1
451,380,1
452,306,1
453,475,1
454,631,1
455,276,1
456,776,1
457,834,1
458,287,1
459,872,1
460,1024,0
461,501,1
462,255,1
463,716,1
464,265,1
465,729,1
466,695,1
467,349,1
468,579,1
469,266,1
470,261,1
471,283,1
472,402,1
473,361,1
474,327,1
475,712,1
476,445,1
477,827,1
478,999,1
479,401,1
480,655,1
481,857,1
482,390,1
483,357,1
484,508,1
485,886,1
486,28,1
487,523,1
488,619,1
489,975,1
490,833,1
491,694,1
492,821,1
493,139,1
494,695,1
495,856,1
496,258,1
497,51,1
498,24,1
499,369,1
500,117,1
501,30,1
502,162,1
503,219,1
504,13,1
505,940,1
506,850,1
507,398,1
508,995,1
509,403,1
510,533,1
511,383,1
512,583,1
513,285,1
514,238,1
515,122,1
516,443,1
517,922,1
518,68,1
519,513,1
520,186,1
521,19,1
522,451,1
523,164,1
524,132,1
525,853,1
526,648,1
527,726,1
528,436,1
529,379,1
530,763,1
531,935,1
532,511,1
533,233,1
534,1001,0
535,252,1
536,167,1
537,222,1
538,921,1
539,856,1
540,843,1
541,851,1
542,169,1
543,18,1
544,112,1
545,16,1
546,912,1
547,686,1
548,733,1
549,337,1
550,730,1
551,263,1
552,7,1
553,92,1
554,758,1
555,148,1
556,365,1
557,514,1
558,658,1
559,213,1
560,484,1
561,864,1
562,407,1
563,185,1
564,124,1
565,855,1
566,317,1
567,105,1
568,173,1
569,700,1
570,338,1
571,815,1
572,601,1
573,645,1
574,421,1
575,876,1
576,429,1
577,951,1
578,178,1
579,379,1
580,512,1
581,336,1
582,166,1
583,832,1
584,512,1
585,256,1
586,733,1
587,367,1
588,648,1
589,322,1
590,257,1
591,991,1
592,34,1
593,750,1
594,328,1
595,32,1
596,1008,0
597,448,1
598,126,1
599,482,1
600,122,1
601,486,1
602,417,1
603,842,1
604,506,1
605,248,1
606,452,1
607,857,1
608,885,1
609,341,1
610,802,1
611,847,1
612,579,1
613,990,1
614,146,1
615,148,1
616,231,1
617,217,1
618,855,1
619,836,1
620,133,1
621,250,1
622,215,1
623,737,1
624,302,1
625,902,1
626,336,1
627,174,1
628,505,1
629,831,1
630,826,1
631,525,1
632,266,1
633,470,1
634,924,1
635,381,1
636,877,1
637,25,1
638,365,1
639,776,1
640,1,1
641,531,1
642,692,1
643,572,1
644,843,1
645,797,1
646,251,1
647,782,1
648,304,1
649,60,1
650,511,1
651,180,1
652,47,1
653,735,1
654,217,1
655,19,1
656,475,1
657,26,1
658,411,1
659,274,1
660,580,1
661,439,1
662,485,1
663,945,1
664,406,1
665,271,1
666,918,1
667,648,1
668,163,1
669,749,1
670,73,1
671,937,1
672,629,1
673,981,1
674,585,1
675,89,1
676,787,1
677,549,1
678,240,1
679,39,1
680,448,1
681,379,1
682,711,1
683,949,1
684,1,1
685,846,1
686,841,1
687,696,1
688,621,1
689,663,1
690,342,1
691,990,1
692,127,1
693,16,1
694,1025,0
695,240,1
696,832,1
697,870,1
698,117,1
699,652,1
700,248,1
701,448,1
702,105,1
703,107,1
704,1018,0
705,643,1
706,593,1
707,577,1
708,216,1
709,861,1
710,989,1
711,544,1
712,838,1
713,532,1
714,532,1
715,878,1
716,17,1
717,761,1
718,929,1
719,710,1
720,900,1
721,548,1
722,579,1
723,695,1
724,503,1
725,372,1
726,654,1
727,90,1
728,76,1
729,672,1
730,548,1
731,467,1
732,136,1
733,736,1
734,105,1
735,404,1
736,809,1
737,551,1
738,784,1
739,114,1
740,528,1
741,794,1
742,0,1
743,306,1
744,751,1
745,135,1
746,119,1
747,466,1
748,604,1
749,338,1
750,192,1
751,336,1
752,1002,0
753,86,1
754,397,1
755,230,1
756,83,1
757,457,1
758,617,1
759,226,1
760,991,1
761,527,1
762,974,1
763,686,1
764,954,1
765,935,1
766,999,1
767,539,1
768,581,1
769,376,1
770,943,1
771,416,1
772,65,1
773,720,1
774,262,1
775,450,1
776,741,1
777,689,1
